[ 'ktr', 'AND', 'qkd', '->', 'cgm' ]
[ 1, 'AND', 0, '->', 'smb' ]
[ 'gst', 'AND', 'gtv', '->', 'kmt' ]
[ 0, 'XOR', 0, '->', 'bfq' ]
[ 'hqs', 'XOR', 'jmb', '->', 'z07' ]
[ 1, 'AND', 1, '->', 'bdr' ]
[ 'gbs', 'XOR', 'rrg', '->', 'z30' ]
[ 'gbs', 'AND', 'rrg', '->', 'dqf' ]
[ 'pgs', 'AND', 'jhf', '->', 'wpd' ]
[ 'rbr', 'XOR', 'frj', '->', 'z27' ]
[ 'vsr', 'OR', 'gng', '->', 'jrp' ]
[ 'knw', 'OR', 'hwq', '->', 'fjs' ]
[ 'tsp', 'AND', 'vng', '->', 'vbf' ]
[ 'fpg', 'OR', 'dqg', '->', 'z45' ]
[ 'wpd', 'OR', 'smb', '->', 'vjq' ]
[ 'fcn', 'XOR', 'pmf', '->', 'z26' ]
[ 'dqf', 'OR', 'tmm', '->', 'hvf' ]
[ 'pmq', 'AND', 'ggj', '->', 'ghc' ]
[ 'dgk', 'AND', 'ppk', '->', 'dcg' ]
[ 1, 'AND', 0, '->', 'z22' ]
[ 'hqs', 'AND', 'jmb', '->', 'qth' ]
[ 'pmf', 'AND', 'fcn', '->', 'tgg' ]
[ 1, 'AND', 1, '->', 'rhg' ]
[ 'pvb', 'XOR', 'jbd', '->', 'z05' ]
[ 'cqb', 'XOR', 'pbd', '->', 'z13' ]
[ 'dcg', 'OR', 'vgw', '->', 'dgj' ]
[ 'mpj', 'AND', 'jrp', '->', 'psh' ]
[ 1, 'XOR', 1, '->', 'ggj' ]
[ 0, 'XOR', 1, '->', 'vvm' ]
[ 'rrq', 'AND', 'gjw', '->', 'dqg' ]
[ 0, 'AND', 1, '->', 'vkh' ]
[ 0, 'XOR', 1, '->', 'pgs' ]
[ 'jsb', 'OR', 'pqq', '->', 'dwm' ]
[ 1, 'AND', 0, '->', 'qcj' ]
[ 'qnq', 'AND', 'ftn', '->', 'qrq' ]
[ 1, 'XOR', 0, '->', 'rrg' ]
[ 0, 'XOR', 1, '->', 'rmm' ]
[ 'qnq', 'XOR', 'ftn', '->', 'z10' ]
[ 'qwd', 'OR', 'ntb', '->', 'cmn' ]
[ 1, 'AND', 1, '->', 'hct' ]
[ 'ncj', 'OR', 'dvw', '->', 'pbq' ]
[ 'pdq', 'OR', 'rhg', '->', 'dcf' ]
[ 0, 'AND', 0, '->', 'cmd' ]
[ 'pvc', 'AND', 'tdm', '->', 'bgs' ]
[ 'rws', 'OR', 'gwq', '->', 'fcn' ]
[ 1, 'AND', 1, '->', 'fpg' ]
[ 'wss', 'AND', 'hgw', '->', 'cgv' ]
